# GT/MT combo	# dups	# losses	Total score	Maps
GT-41 to MT-0	3	7	10	(TURTI-32264-0007a2_TURTI[TURTI+-0],((MOCCI-34638-003fd2_MOCCI[MOCCI+-0],ISCAP-6945-001229_ISCAP[ISCAP+-0])<1>[<5>+-0],(CSCUL-CSCUL-002934_CSCUL[CSCUL+-0],(CSCUL-CSCUL-002935_CSCUL[CSCUL+-0],(LRECL-LRECL-0048e9_LRECL[LRECL+-0],(LHESP-LHESP-002be0_LHESP[LHESP+-0],(SMIMO-407821-0042bb_SMIMO[SMIMO+-0],PTEPI-PTEPI-005734_PTEPI[PTEPI+-0])<2>[<2>+-0])<3>[<2>+-1])<4>[<3>+-0])<5>[<4>+-0])<6>[<4>+-1])<7>[<7>+-0])<8>[<7>+-1]
GT-42 to MT-0	2	6	8	(MOCCI-34638-002583_MOCCI[MOCCI+-0],(((CSCUL-CSCUL-002c58_CSCUL[CSCUL+-0],(LRECL-LRECL-004230_LRECL[LRECL+-0],((PTEPI-PTEPI-003010_PTEPI[PTEPI+-0],LHESP-LHESP-0042dc_LHESP[LHESP+-0])<1>[<1>+-0],SMIMO-407821-000e78_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<3>+-0])<4>[<4>+-0],CSCUL-CSCUL-002f6c_CSCUL[CSCUL+-0])<5>[<4>+-1],ISCAP-6945-002747_ISCAP[ISCAP+-0])<6>[<7>+-0])<7>[<7>+-1]
GT-43 to MT-0	7	17	24	(TURTI-32264-003e6f_TURTI[TURTI+-0],(TURTI-32264-003e71_TURTI[TURTI+-0],(((ISCAP-6945-0008e0_ISCAP[ISCAP+-0],MOCCI-34638-002b0b_MOCCI[MOCCI+-0])<1>[<5>+-0],(((PTEPI-PTEPI-0037b9_PTEPI[PTEPI+-0],PTEPI-PTEPI-0037b7_PTEPI[PTEPI+-0])<2>[PTEPI+-1],PTEPI-PTEPI-0037b8_PTEPI[PTEPI+-0])<3>[PTEPI+-1],(LHESP-LHESP-0030aa_LHESP[LHESP+-0],(CSCUL-CSCUL-0005e8_CSCUL[CSCUL+-0],SMIMO-407821-003af6_SMIMO[SMIMO+-0])<4>[<4>+-0])<5>[<4>+-1])<6>[<4>+-1])<7>[<7>+-0],TURTI-32264-000663_TURTI[TURTI+-0])<8>[<7>+-1])<9>[<7>+-1])<10>[<7>+-1]
GT-44 to MT-0	7	9	16	((MOCCI-34638-00168f_MOCCI[MOCCI+-0],MOCCI-34638-00355e_MOCCI[MOCCI+-0])<1>[MOCCI+-1],((ISCAP-6945-001153_ISCAP[ISCAP+-0],ISCAP-6945-003ae4_ISCAP[ISCAP+-0])<2>[ISCAP+-1],(CSCUL-CSCUL-00122e_CSCUL[CSCUL+-0],(CSCUL-CSCUL-005ddd_CSCUL[CSCUL+-0],(SMIMO-407821-005225_SMIMO[SMIMO+-0],(LRECL-LRECL-0028d5_LRECL[LRECL+-0],(SMIMO-407821-005224_SMIMO[SMIMO+-0],(SMIMO-407821-005f39_SMIMO[SMIMO+-0],((LHESP-LHESP-002878_LHESP[LHESP+-0],PTEPI-PTEPI-005c58_PTEPI[PTEPI+-0])<3>[<1>+-0],(PTEPI-PTEPI-003ae7_PTEPI[PTEPI+-0],LHESP-LHESP-003625_LHESP[LHESP+-0])<4>[<1>+-0])<5>[<1>+-1])<6>[<2>+-0])<7>[<2>+-1])<8>[<3>+-0])<9>[<3>+-1])<10>[<4>+-0])<11>[<4>+-1])<12>[<7>+-0])<13>[<7>+-1]
GT-45 to MT-0	2	11	13	(((MOCCI-34638-002beb_MOCCI[MOCCI+-0],CSCUL-CSCUL-004854_CSCUL[CSCUL+-0])<1>[<7>+-0],(PTEPI-PTEPI-002bef_PTEPI[PTEPI+-0],SMIMO-407821-004014_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<7>+-1],(LHESP-LHESP-002cab_LHESP[LHESP+-0],PTEPI-PTEPI-002bee_PTEPI[PTEPI+-0])<4>[<1>+-0])<5>[<7>+-1]
GT-46 to MT-0	0	4	4	(MOCCI-34638-002434_MOCCI[MOCCI+-0],(LRECL-LRECL-004ae5_LRECL[LRECL+-0],(SMIMO-407821-004fc7_SMIMO[SMIMO+-0],PTEPI-PTEPI-00450f_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<3>+-0])<3>[<7>+-0]
GT-47 to MT-0	8	27	35	(((PTEPI-PTEPI-004955_PTEPI[PTEPI+-0],SMIMO-407821-000144_SMIMO[SMIMO+-0])<1>[<2>+-0],CSCUL-CSCUL-001bad_CSCUL[CSCUL+-0])<2>[<4>+-0],(((((PTEPI-PTEPI-003239_PTEPI[PTEPI+-0],(SMIMO-407821-0058a2_SMIMO[SMIMO+-0],LHESP-LHESP-000776_LHESP[LHESP+-0])<3>[<2>+-0])<4>[<2>+-1],(ISCAP-6945-004881_ISCAP[ISCAP+-0],TURTI-32264-001542_TURTI[TURTI+-0])<5>[<6>+-0])<6>[<7>+-0],CSCUL-CSCUL-007264_CSCUL[CSCUL+-0])<7>[<7>+-1],ISCAP-6945-0047fd_ISCAP[ISCAP+-0])<8>[<7>+-1],((PTEPI-PTEPI-004ac2_PTEPI[PTEPI+-0],(MOCCI-34638-00396c_MOCCI[MOCCI+-0],(CSCUL-CSCUL-000279_CSCUL[CSCUL+-0],ISCAP-6945-0047fe_ISCAP[ISCAP+-0])<9>[<7>+-0])<10>[<7>+-1])<11>[<7>+-1],(TURTI-32264-0026e1_TURTI[TURTI+-0],(CSCUL-CSCUL-001098_CSCUL[CSCUL+-0],((PTEPI-PTEPI-004a05_PTEPI[PTEPI+-0],SMIMO-407821-00009a_SMIMO[SMIMO+-0])<12>[<2>+-0],LRECL-LRECL-00050e_LRECL[LRECL+-0])<13>[<3>+-0])<14>[<4>+-0])<15>[<7>+-0])<16>[<7>+-1])<17>[<7>+-1])<18>[<7>+-1]
GT-48 to MT-0	2	6	8	((((CSCUL-CSCUL-006183_CSCUL[CSCUL+-0],(SMIMO-407821-0059ec_SMIMO[SMIMO+-0],PTEPI-PTEPI-001ec6_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<4>+-0],CSCUL-CSCUL-006182_CSCUL[CSCUL+-0])<3>[<4>+-1],TURTI-32264-00034c_TURTI[TURTI+-0])<4>[<7>+-0],(MOCCI-34638-0011f6_MOCCI[MOCCI+-0],ISCAP-6945-003a60_ISCAP[ISCAP+-0])<5>[<5>+-0])<6>[<7>+-1]
GT-49 to MT-0	5	15	20	(CSCUL-CSCUL-0063a9_CSCUL[CSCUL+-0],(TURTI-32264-003e58_TURTI[TURTI+-0],((MOCCI-34638-003dc5_MOCCI[MOCCI+-0],(ISCAP-6945-003ebb_ISCAP[ISCAP+-0],(PTEPI-PTEPI-00402f_PTEPI[PTEPI+-0],CSCUL-CSCUL-002683_CSCUL[CSCUL+-0])<1>[<4>+-0])<2>[<7>+-0])<3>[<7>+-1],(CSCUL-CSCUL-0063a8_CSCUL[CSCUL+-0],((LRECL-LRECL-004db2_LRECL[LRECL+-0],((PTEPI-PTEPI-00536c_PTEPI[PTEPI+-0],LHESP-LHESP-002aa7_LHESP[LHESP+-0])<4>[<1>+-0],SMIMO-407821-002add_SMIMO[SMIMO+-0])<5>[<2>+-0])<6>[<3>+-0],(LHESP-LHESP-00303e_LHESP[LHESP+-0],PTEPI-PTEPI-00158c_PTEPI[PTEPI+-0])<7>[<1>+-0])<8>[<3>+-1])<9>[<4>+-0])<10>[<7>+-1])<11>[<7>+-1])<12>[<7>+-1]
GT-50 to MT-0	3	11	14	((LRECL-LRECL-0000cd_LRECL[LRECL+-0],TURTI-32264-002c05_TURTI[TURTI+-0])<1>[<7>+-0],(ISCAP-6945-002d6f_ISCAP[ISCAP+-0],(((LRECL-LRECL-0017f4_LRECL[LRECL+-0],((LHESP-LHESP-0036f7_LHESP[LHESP+-0],PTEPI-PTEPI-001325_PTEPI[PTEPI+-0])<2>[<1>+-0],SMIMO-407821-0058b9_SMIMO[SMIMO+-0])<3>[<2>+-0])<4>[<3>+-0],MOCCI-34638-003f5f_MOCCI[MOCCI+-0])<5>[<7>+-0],CSCUL-CSCUL-004f19_CSCUL[CSCUL+-0])<6>[<7>+-1])<7>[<7>+-1])<8>[<7>+-1]
GT-51 to MT-0	3	8	11	((ISCAP-6945-000009_ISCAP[ISCAP+-0],(LRECL-LRECL-003383_LRECL[LRECL+-0],(CSCUL-CSCUL-0019be_CSCUL[CSCUL+-0],(LHESP-LHESP-0029c5_LHESP[LHESP+-0],PTEPI-PTEPI-0043df_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<4>+-0])<3>[<4>+-1])<4>[<7>+-0],((TURTI-32264-001f93_TURTI[TURTI+-0],TURTI-32264-0028e6_TURTI[TURTI+-0])<5>[TURTI+-1],MOCCI-34638-003581_MOCCI[MOCCI+-0])<6>[<6>+-0])<7>[<7>+-1]
GT-52 to MT-0	5	18	23	(SMIMO-407821-002949_SMIMO[SMIMO+-0],(LHESP-LHESP-002749_LHESP[LHESP+-0],(TURTI-32264-00134d_TURTI[TURTI+-0],(CSCUL-CSCUL-005d15_CSCUL[CSCUL+-0],((PTEPI-PTEPI-003b63_PTEPI[PTEPI+-0],PTEPI-PTEPI-006a56_PTEPI[PTEPI+-0])<1>[PTEPI+-1],TURTI-32264-001bd8_TURTI[TURTI+-0])<2>[<7>+-0])<3>[<7>+-1])<4>[<7>+-1])<5>[<7>+-1])<6>[<7>+-1]
GT-53 to MT-0	1	6	7	(CSCUL-CSCUL-004c17_CSCUL[CSCUL+-0],(ISCAP-6945-00184c_ISCAP[ISCAP+-0],((LHESP-LHESP-00125d_LHESP[LHESP+-0],PTEPI-PTEPI-00623a_PTEPI[PTEPI+-0])<1>[<1>+-0],SMIMO-407821-002e93_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<7>+-0])<4>[<7>+-1]
GT-54 to MT-0	4	8	12	(((LRECL-LRECL-000d7b_LRECL[LRECL+-0],CSCUL-CSCUL-002c33_CSCUL[CSCUL+-0])<1>[<4>+-0],((SMIMO-407821-005c33_SMIMO[SMIMO+-0],(LHESP-LHESP-001fe2_LHESP[LHESP+-0],(LHESP-LHESP-002d30_LHESP[LHESP+-0],PTEPI-PTEPI-005f8c_PTEPI[PTEPI+-0])<2>[<1>+-0])<3>[<1>+-1])<4>[<2>+-0],TURTI-32264-0007df_TURTI[TURTI+-0])<5>[<7>+-0])<6>[<7>+-1],((MOCCI-34638-003bb8_MOCCI[MOCCI+-0],MOCCI-34638-003bee_MOCCI[MOCCI+-0])<7>[MOCCI+-1],ISCAP-6945-002121_ISCAP[ISCAP+-0])<8>[<5>+-0])<9>[<7>+-1]
GT-55 to MT-0	4	12	16	(LRECL-LRECL-004182_LRECL[LRECL+-0],((CSCUL-CSCUL-0006e2_CSCUL[CSCUL+-0],(TURTI-32264-00052a_TURTI[TURTI+-0],(LRECL-LRECL-004183_LRECL[LRECL+-0],((SMIMO-407821-000a47_SMIMO[SMIMO+-0],LHESP-LHESP-00299e_LHESP[LHESP+-0])<1>[<2>+-0],PTEPI-PTEPI-000ec6_PTEPI[PTEPI+-0])<2>[<2>+-1])<3>[<3>+-0])<4>[<7>+-0])<5>[<7>+-1],(ISCAP-6945-00325d_ISCAP[ISCAP+-0],MOCCI-34638-0027c2_MOCCI[MOCCI+-0])<6>[<5>+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-56 to MT-0	2	8	10	(MOCCI-34638-0002d1_MOCCI[MOCCI+-0],(TURTI-32264-000173_TURTI[TURTI+-0],(ISCAP-6945-003bdc_ISCAP[ISCAP+-0],((SMIMO-407821-005e3d_SMIMO[SMIMO+-0],(LHESP-LHESP-0012c1_LHESP[LHESP+-0],PTEPI-PTEPI-005aac_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<2>+-0],CSCUL-CSCUL-00195b_CSCUL[CSCUL+-0])<3>[<4>+-0])<4>[<7>+-0])<5>[<7>+-1])<6>[<7>+-1]
GT-57 to MT-0	2	13	15	(LHESP-LHESP-001be9_LHESP[LHESP+-0],(MOCCI-34638-002550_MOCCI[MOCCI+-0],(ISCAP-6945-001a47_ISCAP[ISCAP+-0],SMIMO-407821-001dac_SMIMO[SMIMO+-0])<1>[<7>+-0])<2>[<7>+-1])<3>[<7>+-1]
GT-58 to MT-0	2	10	12	((CSCUL-CSCUL-0050e0_CSCUL[CSCUL+-0],MOCCI-34638-0033f0_MOCCI[MOCCI+-0])<1>[<7>+-0],(((SMIMO-407821-002c58_SMIMO[SMIMO+-0],PTEPI-PTEPI-00081f_PTEPI[PTEPI+-0])<2>[<2>+-0],TURTI-32264-0037cc_TURTI[TURTI+-0])<3>[<7>+-0],ISCAP-6945-001826_ISCAP[ISCAP+-0])<4>[<7>+-1])<5>[<7>+-1]
GT-59 to MT-0	4	15	19	((CSCUL-CSCUL-002e3b_CSCUL[CSCUL+-0],(PTEPI-PTEPI-005a67_PTEPI[PTEPI+-0],(SMIMO-407821-002f02_SMIMO[SMIMO+-0],(LHESP-LHESP-00014f_LHESP[LHESP+-0],LRECL-LRECL-001069_LRECL[LRECL+-0])<1>[<3>+-0])<2>[<3>+-1])<3>[<3>+-1])<4>[<4>+-0],((ISCAP-6945-00252f_ISCAP[ISCAP+-0],MOCCI-34638-0008d7_MOCCI[MOCCI+-0])<5>[<5>+-0],(TURTI-32264-00336f_TURTI[TURTI+-0],PTEPI-PTEPI-005a62_PTEPI[PTEPI+-0])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-60 to MT-0	2	8	10	(((LRECL-LRECL-00023a_LRECL[LRECL+-0],(LRECL-LRECL-000239_LRECL[LRECL+-0],PTEPI-PTEPI-00184a_PTEPI[PTEPI+-0])<1>[<3>+-0])<2>[<3>+-1],CSCUL-CSCUL-002b85_CSCUL[CSCUL+-0])<3>[<4>+-0],LHESP-LHESP-00097c_LHESP[LHESP+-0])<4>[<4>+-1]
GT-61 to MT-0	1	5	6	(SMIMO-407821-004fbe_SMIMO[SMIMO+-0],(CSCUL-CSCUL-001812_CSCUL[CSCUL+-0],(TURTI-32264-000fd0_TURTI[TURTI+-0],(ISCAP-6945-004945_ISCAP[ISCAP+-0],MOCCI-34638-0026f7_MOCCI[MOCCI+-0])<1>[<5>+-0])<2>[<6>+-0])<3>[<7>+-0])<4>[<7>+-1]
GT-62 to MT-0	1	6	7	(ISCAP-6945-001a41_ISCAP[ISCAP+-0],(CSCUL-CSCUL-0041be_CSCUL[CSCUL+-0],MOCCI-34638-0024e6_MOCCI[MOCCI+-0])<1>[<7>+-0])<2>[<7>+-1]
GT-63 to MT-0	5	16	21	((TURTI-32264-001d49_TURTI[TURTI+-0],(MOCCI-34638-001b06_MOCCI[MOCCI+-0],((((CSCUL-CSCUL-0021d9_CSCUL[CSCUL+-0],(PTEPI-PTEPI-00053b_PTEPI[PTEPI+-0],LHESP-LHESP-0011a4_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<4>+-0],(SMIMO-407821-005a51_SMIMO[SMIMO+-0],LRECL-LRECL-001b49_LRECL[LRECL+-0])<3>[<3>+-0])<4>[<4>+-1],CSCUL-CSCUL-0021d8_CSCUL[CSCUL+-0])<5>[<4>+-1],ISCAP-6945-001784_ISCAP[ISCAP+-0])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1],SMIMO-407821-001eaa_SMIMO[SMIMO+-0])<9>[<7>+-1]
GT-64 to MT-0	4	9	13	(MOCCI-34638-0006fc_MOCCI[MOCCI+-0],(ISCAP-6945-004a6b_ISCAP[ISCAP+-0],((LRECL-LRECL-0044bc_LRECL[LRECL+-0],(SMIMO-407821-002ed2_SMIMO[SMIMO+-0],(LHESP-LHESP-002d6b_LHESP[LHESP+-0],(PTEPI-PTEPI-0012c3_PTEPI[PTEPI+-0],(SMIMO-407821-000797_SMIMO[SMIMO+-0],SMIMO-407821-002fd6_SMIMO[SMIMO+-0])<1>[SMIMO+-1])<2>[<2>+-0])<3>[<2>+-1])<4>[<2>+-1])<5>[<3>+-0],CSCUL-CSCUL-0025a1_CSCUL[CSCUL+-0])<6>[<4>+-0])<7>[<7>+-0])<8>[<7>+-1]
GT-65 to MT-0	4	19	23	(MOCCI-34638-003a05_MOCCI[MOCCI+-0],((PTEPI-PTEPI-003893_PTEPI[PTEPI+-0],(((CSCUL-CSCUL-003b8d_CSCUL[CSCUL+-0],(LRECL-LRECL-0018c4_LRECL[LRECL+-0],(PTEPI-PTEPI-006ba2_PTEPI[PTEPI+-0],SMIMO-407821-003149_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<3>+-0])<3>[<4>+-0],ISCAP-6945-00246b_ISCAP[ISCAP+-0])<4>[<7>+-0],LHESP-LHESP-002cd2_LHESP[LHESP+-0])<5>[<7>+-1])<6>[<7>+-1],((SMIMO-407821-003963_SMIMO[SMIMO+-0],CSCUL-CSCUL-0009ea_CSCUL[CSCUL+-0])<7>[<4>+-0],TURTI-32264-000e6b_TURTI[TURTI+-0])<8>[<7>+-0])<9>[<7>+-1])<10>[<7>+-1]
GT-66 to MT-0	4	18	22	(CSCUL-CSCUL-00753c_CSCUL[CSCUL+-0],(ISCAP-6945-003689_ISCAP[ISCAP+-0],(LRECL-LRECL-004151_LRECL[LRECL+-0],(SMIMO-407821-0067a5_SMIMO[SMIMO+-0],(MOCCI-34638-002dd0_MOCCI[MOCCI+-0],PTEPI-PTEPI-001129_PTEPI[PTEPI+-0])<1>[<7>+-0])<2>[<7>+-1])<3>[<7>+-1])<4>[<7>+-1])<5>[<7>+-1]
GT-67 to MT-0	0	3	3	(CSCUL-CSCUL-002451_CSCUL[CSCUL+-0],(SMIMO-407821-00096c_SMIMO[SMIMO+-0],PTEPI-PTEPI-0030ca_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<4>+-0]
GT-69 to MT-0	2	6	8	(TURTI-32264-003fd2_TURTI[TURTI+-0],((SMIMO-407821-002dc1_SMIMO[SMIMO+-0],PTEPI-PTEPI-00434d_PTEPI[PTEPI+-0])<1>[<2>+-0],(ISCAP-6945-000f6f_ISCAP[ISCAP+-0],(MOCCI-34638-000834_MOCCI[MOCCI+-0],MOCCI-34638-000833_MOCCI[MOCCI+-0])<2>[MOCCI+-1])<3>[<5>+-0])<4>[<7>+-0])<5>[<7>+-1]
GT-70 to MT-0	1	5	6	(CSCUL-CSCUL-003ef6_CSCUL[CSCUL+-0],((LRECL-LRECL-0025cb_LRECL[LRECL+-0],(PTEPI-PTEPI-000221_PTEPI[PTEPI+-0],SMIMO-407821-0026f0_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<3>+-0],(MOCCI-34638-0037a2_MOCCI[MOCCI+-0],ISCAP-6945-000d83_ISCAP[ISCAP+-0])<3>[<5>+-0])<4>[<7>+-0])<5>[<7>+-1]
GT-71 to MT-0	5	2	7	((TURTI-32264-00118e_TURTI[TURTI+-0],((ISCAP-6945-00460b_ISCAP[ISCAP+-0],ISCAP-6945-000529_ISCAP[ISCAP+-0])<1>[ISCAP+-1],MOCCI-34638-001ad3_MOCCI[MOCCI+-0])<2>[<5>+-0])<3>[<6>+-0],(CSCUL-CSCUL-002648_CSCUL[CSCUL+-0],(CSCUL-CSCUL-002647_CSCUL[CSCUL+-0],(((LRECL-LRECL-0007be_LRECL[LRECL+-0],LRECL-LRECL-003152_LRECL[LRECL+-0])<4>[LRECL+-1],LRECL-LRECL-0030ed_LRECL[LRECL+-0])<5>[LRECL+-1],(SMIMO-407821-005ab0_SMIMO[SMIMO+-0],(SMIMO-407821-000929_SMIMO[SMIMO+-0],(LHESP-LHESP-000f9f_LHESP[LHESP+-0],PTEPI-PTEPI-003b17_PTEPI[PTEPI+-0])<6>[<1>+-0])<7>[<2>+-0])<8>[<2>+-1])<9>[<3>+-0])<10>[<4>+-0])<11>[<4>+-1])<12>[<7>+-0]
GT-72 to MT-0	3	8	11	(MOCCI-34638-0033a5_MOCCI[MOCCI+-0],(CSCUL-CSCUL-002f02_CSCUL[CSCUL+-0],(ISCAP-6945-002589_ISCAP[ISCAP+-0],((((SMIMO-407821-0031f5_SMIMO[SMIMO+-0],(PTEPI-PTEPI-0000cf_PTEPI[PTEPI+-0],LHESP-LHESP-000a15_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0],LRECL-LRECL-002a91_LRECL[LRECL+-0])<3>[<3>+-0],CSCUL-CSCUL-003930_CSCUL[CSCUL+-0])<4>[<4>+-0],CSCUL-CSCUL-002f03_CSCUL[CSCUL+-0])<5>[<4>+-1])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-73 to MT-0	3	7	10	(((TURTI-32264-0005c4_TURTI[TURTI+-0],CSCUL-CSCUL-0052e1_CSCUL[CSCUL+-0])<1>[<7>+-0],(((SMIMO-407821-00660a_SMIMO[SMIMO+-0],(LHESP-LHESP-000b42_LHESP[LHESP+-0],PTEPI-PTEPI-00223e_PTEPI[PTEPI+-0])<2>[<1>+-0])<3>[<2>+-0],(SMIMO-407821-006609_SMIMO[SMIMO+-0],LRECL-LRECL-002fdb_LRECL[LRECL+-0])<4>[<3>+-0])<5>[<3>+-1],CSCUL-CSCUL-006f38_CSCUL[CSCUL+-0])<6>[<4>+-0])<7>[<7>+-1],(ISCAP-6945-003d03_ISCAP[ISCAP+-0],MOCCI-34638-001768_MOCCI[MOCCI+-0])<8>[<5>+-0])<9>[<7>+-1]
GT-74 to MT-0	12	26	38	((CSCUL-CSCUL-000425_CSCUL[CSCUL+-0],CSCUL-CSCUL-006a81_CSCUL[CSCUL+-0])<1>[CSCUL+-1],((((LHESP-LHESP-000fbc_LHESP[LHESP+-0],PTEPI-PTEPI-0064b3_PTEPI[PTEPI+-0])<2>[<1>+-0],(CSCUL-CSCUL-000424_CSCUL[CSCUL+-0],((SMIMO-407821-0028a7_SMIMO[SMIMO+-0],LHESP-LHESP-001985_LHESP[LHESP+-0])<3>[<2>+-0],(LRECL-LRECL-002ab8_LRECL[LRECL+-0],(TURTI-32264-0025a6_TURTI[TURTI+-0],((CSCUL-CSCUL-00374d_CSCUL[CSCUL+-0],TURTI-32264-001302_TURTI[TURTI+-0])<4>[<7>+-0],((MOCCI-34638-0028e7_MOCCI[MOCCI+-0],MOCCI-34638-0028e6_MOCCI[MOCCI+-0])<5>[MOCCI+-1],MOCCI-34638-0028e8_MOCCI[MOCCI+-0])<6>[MOCCI+-1])<7>[<7>+-1])<8>[<7>+-1])<9>[<7>+-1])<10>[<7>+-1])<11>[<7>+-1])<12>[<7>+-1],(ISCAP-6945-000060_ISCAP[ISCAP+-0],MOCCI-34638-001913_MOCCI[MOCCI+-0])<13>[<5>+-0])<14>[<7>+-1],(TURTI-32264-0033cc_TURTI[TURTI+-0],MOCCI-34638-002c39_MOCCI[MOCCI+-0])<15>[<6>+-0])<16>[<7>+-1])<17>[<7>+-1]
GT-75 to MT-0	4	11	15	(MOCCI-34638-003aff_MOCCI[MOCCI+-0],(ISCAP-6945-003b61_ISCAP[ISCAP+-0],((TURTI-32264-0036f8_TURTI[TURTI+-0],(SMIMO-407821-005297_SMIMO[SMIMO+-0],(LHESP-LHESP-00023c_LHESP[LHESP+-0],PTEPI-PTEPI-00206d_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<2>+-0])<3>[<7>+-0],(CSCUL-CSCUL-006116_CSCUL[CSCUL+-0],CSCUL-CSCUL-006d06_CSCUL[CSCUL+-0])<4>[CSCUL+-1])<5>[<7>+-1])<6>[<7>+-1])<7>[<7>+-1]
GT-76 to MT-0	5	13	18	((SMIMO-407821-00429d_SMIMO[SMIMO+-0],(CSCUL-CSCUL-00518f_CSCUL[CSCUL+-0],(PTEPI-PTEPI-003568_PTEPI[PTEPI+-0],(((LRECL-LRECL-0014af_LRECL[LRECL+-0],(LHESP-LHESP-00178e_LHESP[LHESP+-0],PTEPI-PTEPI-003567_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<3>+-0],LHESP-LHESP-0017b1_LHESP[LHESP+-0])<3>[<3>+-1],SMIMO-407821-003f2e_SMIMO[SMIMO+-0])<4>[<3>+-1])<5>[<3>+-1])<6>[<4>+-0])<7>[<4>+-1],(ISCAP-6945-001135_ISCAP[ISCAP+-0],(MOCCI-34638-0015eb_MOCCI[MOCCI+-0],MOCCI-34638-003467_MOCCI[MOCCI+-0])<8>[MOCCI+-1])<9>[<5>+-0])<10>[<7>+-0]
GT-77 to MT-0	1	4	5	((TURTI-32264-003b79_TURTI[TURTI+-0],CSCUL-CSCUL-002990_CSCUL[CSCUL+-0])<1>[<7>+-0],(((SMIMO-407821-002f93_SMIMO[SMIMO+-0],(PTEPI-PTEPI-0024fc_PTEPI[PTEPI+-0],LHESP-LHESP-00143d_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<2>+-0],CSCUL-CSCUL-00298e_CSCUL[CSCUL+-0])<4>[<4>+-0],(MOCCI-34638-0019cc_MOCCI[MOCCI+-0],ISCAP-6945-004028_ISCAP[ISCAP+-0])<5>[<5>+-0])<6>[<7>+-0])<7>[<7>+-1]
GT-78 to MT-0	2	7	9	((MOCCI-34638-00406c_MOCCI[MOCCI+-0],TURTI-32264-0006cd_TURTI[TURTI+-0])<1>[<6>+-0],(CSCUL-CSCUL-000e0c_CSCUL[CSCUL+-0],(ISCAP-6945-000fe9_ISCAP[ISCAP+-0],(LRECL-LRECL-001f0e_LRECL[LRECL+-0],((LHESP-LHESP-000f92_LHESP[LHESP+-0],PTEPI-PTEPI-003ead_PTEPI[PTEPI+-0])<2>[<1>+-0],SMIMO-407821-0030a8_SMIMO[SMIMO+-0])<3>[<2>+-0])<4>[<3>+-0])<5>[<7>+-0])<6>[<7>+-1])<7>[<7>+-1]
GT-79 to MT-0	1	5	6	(ISCAP-6945-002e46_ISCAP[ISCAP+-0],((LHESP-LHESP-000353_LHESP[LHESP+-0],LHESP-LHESP-00149b_LHESP[LHESP+-0])<1>[LHESP+-1],LRECL-LRECL-003ee2_LRECL[LRECL+-0])<2>[<3>+-0])<3>[<7>+-0]
GT-80 to MT-0	2	10	12	((PTEPI-PTEPI-0003bc_PTEPI[PTEPI+-0],SMIMO-407821-00045c_SMIMO[SMIMO+-0])<1>[<2>+-0],(ISCAP-6945-0028c8_ISCAP[ISCAP+-0],(CSCUL-CSCUL-001906_CSCUL[CSCUL+-0],MOCCI-34638-000ada_MOCCI[MOCCI+-0])<2>[<7>+-0])<3>[<7>+-1])<4>[<7>+-1]
GT-81 to MT-0	4	3	7	(((LRECL-LRECL-00040e_LRECL[LRECL+-0],(((LHESP-LHESP-00170d_LHESP[LHESP+-0],PTEPI-PTEPI-00353d_PTEPI[PTEPI+-0])<1>[<1>+-0],(LHESP-LHESP-003734_LHESP[LHESP+-0],SMIMO-407821-001adf_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<2>+-1],LRECL-LRECL-00040d_LRECL[LRECL+-0])<4>[<3>+-0])<5>[<3>+-1],CSCUL-CSCUL-0025a7_CSCUL[CSCUL+-0])<6>[<4>+-0],((MOCCI-34638-00469f_MOCCI[MOCCI+-0],ISCAP-6945-003f71_ISCAP[ISCAP+-0])<7>[<5>+-0],((TURTI-32264-001aa1_TURTI[TURTI+-0],TURTI-32264-001aa3_TURTI[TURTI+-0])<8>[TURTI+-1],TURTI-32264-001aa4_TURTI[TURTI+-0])<9>[TURTI+-1])<10>[<6>+-0])<11>[<7>+-0]
